event,goalie_in_id,goalie_out_id,period_id,time,team_code,s,team_id,goalie_in_info.player_id,goalie_in_info.jersey_number,goalie_in_info.team_id,goalie_in_info.team_code,goalie_in_info.first_name,goalie_in_info.last_name,id,period,time_formatted,home_player_id,visitor_player_id,home_win,location_id,x_location,y_location,win_team_id,player_home.player_id,player_home.jersey_number,player_home.team_id,player_home.team_code,player_home.first_name,player_home.last_name,player_visitor.player_id,player_visitor.jersey_number,player_visitor.team_id,player_visitor.team_code,player_visitor.first_name,player_visitor.last_name,home,player_id,hit_type,hitter.player_id,hitter.jersey_number,hitter.team_id,hitter.team_code,hitter.first_name,hitter.last_name,goalie_id,shot_type,shot_type_description,shot_quality_description,quality,game_goal_id,player_team_id,goalie_team_id,assist1_player_id,assist2_player_id,goal_type_name,player.player_id,player.jersey_number,player.team_id,player.team_code,player.first_name,player.last_name,goalie.player_id,goalie.jersey_number,goalie.team_id,goalie.team_code,goalie.first_name,goalie.last_name,goal_type,goal_player_id,location_set,power_play,empty_net,penalty_shot,short_handed,insurance_goal,game_winning,game_tieing,scorer_goal_num,plus,minus,goal_scorer.player_id,goal_scorer.jersey_number,goal_scorer.team_id,goal_scorer.team_code,goal_scorer.first_name,goal_scorer.last_name,assist1_player.player_id,assist1_player.jersey_number,assist1_player.team_id,assist1_player.team_code,assist1_player.first_name,assist1_player.last_name,assist2_player.player_id,assist2_player.jersey_number,assist2_player.team_id,assist2_player.team_code,assist2_player.first_name,assist2_player.last_name,player_served,offence,pp,time_off_formatted,bench,minutes,minutes_formatted,penalty_class_id,penalty_class,lang_penalty_description,player_penalized_info.player_id,player_penalized_info.jersey_number,player_penalized_info.team_id,player_penalized_info.team_code,player_penalized_info.first_name,player_penalized_info.last_name,player_served_info.player_id,player_served_info.jersey_number,player_served_info.team_id,player_served_info.team_code,player_served_info.first_name,player_served_info.last_name,goalie_out_info.player_id,goalie_out_info.jersey_number,goalie_out_info.team_id,goalie_out_info.team_code,goalie_out_info.first_name,goalie_out_info.last_name
goalie_change,23743,,1,0:00,Gat,0,12,23743,90,12,Gat,Danai,Shaiikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goalie_change,21388,,1,0:00,Mon,0,1,21388,35,1,Mon,Jacoby,Weiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faceoff,,,,00:00:00,,0,,,,,,,,1,1,0:00,20414,22097,1,5,300.0,150.0,1,20414,14,1,Mon,Teddy,Mutryn,22097,72,12,Gat,Nicholas,Petrut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit,,,,00:00:03,,3,12,,,,,,,349252,1,0:03,,,,,226.0,9.0,,,,,,,,,,,,,,0,19705,1,19705,6,12,Gat,Alexandre,Carbonneau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot,,,1,00:24,,24,1,,,,,,,690402,,0:24,,,,,86.0,111.0,,,,,,,,,,,,,,1,20414,,,,,,,,23743,5,Default,Quality goal,5,246964,1,12,23424,19528,,20414,14,1,Mon,Teddy,Mutryn,23743,90,12,Gat,Danai,Shaiikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goal,,,1,0:24,,24,1,,,,,,,246964,1st,0:24,,,,,86.0,111.0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,23424,19528,,,,,,,,,,,,,,,20414,0,0,0,0,0,0,1,0,18,"[{'player_id': '20414', 'jersey_number': '14', 'team_id': '1', 'team_code': 'Mon', 'first_name': 'Teddy', 'last_name': 'Mutryn'}, {'player_id': '23895', 'jersey_number': '16', 'team_id': '1', 'team_code': 'Mon', 'first_name': 'Tommy', 'last_name': 'Bleyl'}, {'player_id': '19127', 'jersey_number': '20', 'team_id': '1', 'team_code': 'Mon', 'first_name': 'Preston', 'last_name': 'Lounsbury'}, {'player_id': '19528', 'jersey_number': '24', 'team_id': '1', 'team_code': 'Mon', 'first_name': 'Adam', 'last_name': 'Fortier-Gendron'}, {'player_id': '23424', 'jersey_number': '71', 'team_id': '1', 'team_code': 'Mon', 'first_name': 'Grayden', 'last_name': 'Robertson-Palmer'}]","[{'player_id': '19705', 'jersey_number': '6', 'team_id': '12', 'team_code': 'Gat', 'first_name': 'Alexandre', 'last_name': 'Carbonneau'}, {'player_id': '19103', 'jersey_number': '13', 'team_id': '12', 'team_code': 'Gat', 'first_name': 'Jérémie', 'last_name': 'Dumas-Larouche'}, {'player_id': '20508', 'jersey_number': '18', 'team_id': '12', 'team_code': 'Gat', 'first_name': 'Gabriel', 'last_name': 'Séguin'}, {'player_id': '22097', 'jersey_number': '72', 'team_id': '12', 'team_code': 'Gat', 'first_name': 'Nicholas', 'last_name': 'Petrut'}, {'player_id': '21290', 'jersey_number': '86', 'team_id': '12', 'team_code': 'Gat', 'first_name': 'Maxim', 'last_name': 'Dubé'}]",20414,14,1,Mon,Teddy,Mutryn,23424,71,1,Mon,Grayden,Robertson-Palmer,19528,24,1,Mon,Adam,Fortier-Gendron,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faceoff,,,,00:00:24,,24,,,,,,,,1,1,0:24,20164,21292,1,5,300.0,150.0,1,20164,18,1,Mon,Caleb,Desnoyers,21292,91,12,Gat,Simon-Xavier,Cyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit,,,,00:00:40,,40,12,,,,,,,349253,1,0:40,,,,,594.0,128.0,,,,,,,,,,,,,,0,21321,1,21321,71,12,Gat,Alex,Dagenais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faceoff,,,,00:00:50,,50,,,,,,,,1,1,0:50,20414,21292,1,8,457.0,49.0,1,20414,14,1,Mon,Teddy,Mutryn,21292,91,12,Gat,Simon-Xavier,Cyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit,,,,00:01:13,,73,1,,,,,,,349254,1,1:13,,,,,536.0,11.0,,,,,,,,,,,,,,1,23995,1,23995,15,1,Mon,Matthew,Virgilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
